SamplingEvent,Year,StationName,Analyte,Conc,ConcUnits,Flow,LocType,Load,LoadUnits
"Mar 15-16, 2016",2016,Liberty Cut below Stairsteps,MeHg- total,0.265,ng/L,17028.3,Outlet,11.04,g/day
"Mar 15-16, 2016",2016,Liberty Cut below Stairsteps,POC,0.8,mg/L as C,17028.3,Outlet,33.33,"1,000 kg/day"
"Mar 15-16, 2016",2016,Liberty Cut below Stairsteps,THg- filtered,3.7,ng/L,17028.3,Outlet,154.1,g/day
"Mar 15-16, 2016",2016,Liberty Cut below Stairsteps,THg- particulate,11.4,ng/L,17028.3,Outlet,474.9,g/day
"Mar 15-16, 2016",2016,Liberty Cut below Stairsteps,THg- total,15.1,ng/L,17028.3,Outlet,629.1,g/day
"Mar 15-16, 2016",2016,Liberty Cut below Stairsteps,TOC,4.9,mg/L as C,17028.3,Outlet,204.1,"1,000 kg/day"
"Mar 15-16, 2016",2016,Liberty Cut below Stairsteps,TSS,69,mg/L,17028.3,Outlet,2875,"1,000 kg/day"
"Mar 15-16, 2016",2016,Liberty Cut below Stairsteps,VSS,8,mg/L,17028.3,Outlet,333.3,"1,000 kg/day"
"Mar 15-16, 2016",2016,Liberty Island Breach 1,Chloride- filtered,18,mg/L,3065.2,Outlet,135,"1,000 kg/day"
"Mar 15-16, 2016",2016,Liberty Island Breach 1,DOC,7.2,mg/L as C,3065.2,Outlet,53.99,"1,000 kg/day"
"Mar 15-16, 2016",2016,Liberty Island Breach 1,Iron- filtered,124,ug/L,3065.2,Outlet,929.9,kg/day
"Mar 15-16, 2016",2016,Liberty Island Breach 1,Manganese- filtered,35.6,ug/L,3065.2,Outlet,267,kg/day
"Mar 15-16, 2016",2016,Liberty Island Breach 1,MeHg- filtered,0.284,ng/L,3065.2,Outlet,2.13,g/day
"Mar 15-16, 2016",2016,Liberty Island Breach 1,MeHg- particulate,0.23,ng/L,3065.2,Outlet,1.725,g/day
"Mar 15-16, 2016",2016,Liberty Island Breach 1,MeHg- total,0.514,ng/L,3065.2,Outlet,3.855,g/day
"Mar 15-16, 2016",2016,Liberty Island Breach 1,POC,1.1,mg/L as C,3065.2,Outlet,8.249,"1,000 kg/day"
"Mar 15-16, 2016",2016,Liberty Island Breach 1,THg- filtered,4.3,ng/L,3065.2,Outlet,32.25,g/day
"Mar 15-16, 2016",2016,Liberty Island Breach 1,THg- particulate,15.2,ng/L,3065.2,Outlet,114,g/day
"Mar 15-16, 2016",2016,Liberty Island Breach 1,THg- total,19.5,ng/L,3065.2,Outlet,146.2,g/day
"Mar 15-16, 2016",2016,Liberty Island Breach 1,TOC,8.3,mg/L as C,3065.2,Outlet,62.24,"1,000 kg/day"
"Mar 15-16, 2016",2016,Liberty Island Breach 1,TSS,67.5,mg/L,3065.2,Outlet,506.2,"1,000 kg/day"
"Mar 15-16, 2016",2016,Liberty Island Breach 1,VSS,9,mg/L,3065.2,Outlet,67.49,"1,000 kg/day"
"Mar 15-16, 2016",2016,Liberty Island Breach 2,Chloride- filtered,5,mg/L,10732.5,Outlet,131.3,"1,000 kg/day"
"Mar 15-16, 2016",2016,Liberty Island Breach 2,DOC,4.1,mg/L as C,10732.5,Outlet,107.7,"1,000 kg/day"
"Mar 15-16, 2016",2016,Liberty Island Breach 2,Iron- filtered,110,ug/L,10732.5,Outlet,2888,kg/day
"Mar 15-16, 2016",2016,Liberty Island Breach 2,Manganese- filtered,16.1,ug/L,10732.5,Outlet,422.8,kg/day
"Mar 15-16, 2016",2016,Liberty Island Breach 2,MeHg- filtered,0.144,ng/L,10732.5,Outlet,3.781,g/day
"Mar 15-16, 2016",2016,Liberty Island Breach 2,MeHg- particulate,0.121,ng/L,10732.5,Outlet,3.177,g/day
"Mar 15-16, 2016",2016,Liberty Island Breach 2,MeHg- total,0.265,ng/L,10732.5,Outlet,6.958,g/day
"Mar 15-16, 2016",2016,Liberty Island Breach 2,POC,0.8,mg/L as C,10732.5,Outlet,21.01,"1,000 kg/day"
"Mar 15-16, 2016",2016,Liberty Island Breach 2,THg- filtered,3.7,ng/L,10732.5,Outlet,97.15,g/day
"Mar 15-16, 2016",2016,Liberty Island Breach 2,THg- particulate,11.4,ng/L,10732.5,Outlet,299.3,g/day
"Mar 15-16, 2016",2016,Liberty Island Breach 2,THg- total,15.1,ng/L,10732.5,Outlet,396.5,g/day
"Mar 15-16, 2016",2016,Liberty Island Breach 2,TOC,4.9,mg/L as C,10732.5,Outlet,128.7,"1,000 kg/day"
"Mar 15-16, 2016",2016,Liberty Island Breach 2,TSS,69,mg/L,10732.5,Outlet,1812,"1,000 kg/day"
"Mar 15-16, 2016",2016,Liberty Island Breach 2,VSS,8,mg/L,10732.5,Outlet,210.1,"1,000 kg/day"
"Mar 15-16, 2016",2016,Liberty Island Breach 3,Chloride- filtered,4,mg/L,4632.3,Outlet,45.33,"1,000 kg/day"
"Mar 15-16, 2016",2016,Liberty Island Breach 3,DOC,4.2,mg/L as C,4632.3,Outlet,47.6,"1,000 kg/day"
"Mar 15-16, 2016",2016,Liberty Island Breach 3,Iron- filtered,133,ug/L,4632.3,Outlet,1507,kg/day
"Mar 15-16, 2016",2016,Liberty Island Breach 3,Manganese- filtered,18.9,ug/L,4632.3,Outlet,214.2,kg/day
"Mar 15-16, 2016",2016,Liberty Island Breach 3,MeHg- filtered,0.097,ng/L,4632.3,Outlet,1.099,g/day
"Mar 15-16, 2016",2016,Liberty Island Breach 3,MeHg- particulate,0.081,ng/L,4632.3,Outlet,0.918,g/day
"Mar 15-16, 2016",2016,Liberty Island Breach 3,MeHg- total,0.178,ng/L,4632.3,Outlet,2.017,g/day
